ТИК,УИК,"Число избирателей, включенных в список избирателей","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",Число погашенных избирательных бюллетеней,Число избирательных бюллетеней в переносных ящиках для голосования,Число бюллетеней в стационарных ящиках для голосования,Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Даванков Владислав Андреевич,Даванков Владислав Андреевич (%),Путин Владимир Владимирович,Путин Владимир Владимирович (%),Слуцкий Леонид Эдуардович,Слуцкий Леонид Эдуардович (%),Харитонов Николай Михайлович,Харитонов Николай Михайлович (%)
Балашихинская городская,УИК №1,1701,1500,0,1157,20,323,20,1157,12,1165,0,0,53,4.5,1053,89.46,20,1.7,39,3.31
Балашихинская городская,УИК №2,1661,1500,0,1163,7,330,7,1163,30,1140,0,0,68,5.81,1023,87.44,19,1.62,30,2.56
Балашихинская городская,УИК №3,1995,2000,0,1389,12,599,12,1389,28,1373,0,0,19,1.36,1236,88.22,22,1.57,96,6.85
Балашихинская городская,УИК №4,2028,1800,0,1429,7,364,7,1429,21,1415,0,0,66,4.6,1273,88.65,24,1.67,52,3.62
Балашихинская городская,УИК №5,2048,1900,0,1417,16,467,16,1417,38,1395,0,0,21,1.47,1256,87.65,20,1.4,98,6.84
Балашихинская городская,УИК №6,2171,1900,0,1518,24,358,24,1518,29,1513,0,0,90,5.84,1329,86.19,32,02.08,62,04.02
Балашихинская городская,УИК №7,2047,1700,0,1369,58,273,58,1369,31,1396,0,0,103,7.22,1206,84.51,38,2.66,49,3.43
Балашихинская городская,УИК №8,2144,1800,0,1532,33,235,33,1532,24,1541,0,0,77,4.92,1388,88.69,20,1.28,56,3.58
Балашихинская городская,УИК №9,2200,2000,0,1533,65,402,65,1533,46,1552,0,0,85,5.32,1372,85.86,36,2.25,59,3.69
Балашихинская городская,УИК №10,1986,1700,0,1466,40,194,40,1466,39,1467,0,0,94,6.24,1271,84.4,45,2.99,57,3.78
Балашихинская городская,УИК №11,2092,1900,0,1254,200,446,200,1254,27,1427,0,0,128,8.8,1197,82.32,31,2.13,71,4.88
Балашихинская городская,УИК №12,1579,1400,0,1048,83,269,83,1048,25,1106,0,0,82,7.25,947,83.73,38,3.36,39,3.45
Балашихинская городская,УИК №13,1254,1100,0,842,54,204,54,842,33,863,0,0,67,7.48,743,82.92,19,2.12,34,3.79
Балашихинская городская,УИК №14,1945,1700,0,1348,20,332,20,1348,31,1337,0,0,57,4.17,1195,87.35,25,1.83,60,4.39
Балашихинская городская,УИК №15,2006,1800,0,1345,112,343,112,1345,31,1426,0,0,127,8.72,1199,82.29,44,03.02,56,3.84
Балашихинская городская,УИК №16,2359,2100,0,1552,153,395,153,1543,36,1660,0,0,88,5.19,1465,86.38,35,02.06,72,4.25
Балашихинская городская,УИК №17,2119,1900,0,1480,77,343,77,1480,37,1520,0,0,82,5.27,1340,86.06,36,2.31,62,3.98
Балашихинская городская,УИК №18,2479,2300,0,1789,12,499,12,1789,34,1767,0,0,23,1.28,1590,88.28,30,1.67,124,6.89
Балашихинская городская,УИК №19,2049,2200,0,1530,5,665,5,1530,25,1510,0,0,21,1.37,1359,88.53,24,1.56,106,6.91
Балашихинская городская,УИК №20,2495,2100,0,1548,254,298,254,1548,39,1763,0,0,126,6.99,1562,86.68,39,2.16,36,1.99
Балашихинская городская,УИК №21,1287,1100,0,766,135,199,135,766,22,879,0,0,51,5.66,773,85.79,23,2.55,32,3.55
Балашихинская городская,УИК №22,1875,1700,0,1333,22,345,22,1333,31,1324,0,0,75,5.54,1167,86.13,17,1.25,65,4.8
Балашихинская городская,УИК №23,1749,1600,0,1215,13,372,13,1215,38,1190,0,0,67,5.46,1049,85.42,31,2.52,43,3.5
Балашихинская городская,УИК №24,1707,1500,0,1155,36,309,36,1155,34,1157,0,0,61,5.12,1020,85.64,27,2.27,49,4.11
Балашихинская городская,УИК №25,2032,1800,0,1439,12,349,12,1439,29,1422,0,0,78,5.38,1258,86.7,30,02.07,56,3.86
Балашихинская городская,УИК №26,2082,1800,0,1467,12,321,12,1467,21,1458,0,0,59,3.99,1302,88.03,36,2.43,61,4.12
Балашихинская городская,УИК №27,2176,1800,0,1458,76,266,76,1458,42,1492,0,0,84,5.48,1333,86.9,34,2.22,41,2.67
Балашихинская городская,УИК №28,2180,1900,0,1488,11,401,11,1488,26,1473,0,0,56,3.74,1333,88.93,27,1.8,57,3.8
Балашихинская городская,УИК №29,2020,1800,0,1432,28,340,28,1432,18,1442,0,0,58,3.97,1323,90.62,15,01.03,46,3.15
Балашихинская городская,УИК №30,1985,1800,0,1314,105,381,105,1314,36,1383,0,0,73,5.14,1240,87.39,24,1.69,46,3.24
Балашихинская городская,УИК №31,2015,1800,0,1355,100,345,100,1355,17,1438,0,0,86,5.91,1283,88.18,31,2.13,38,2.61
Балашихинская городская,УИК №32,1981,1800,0,1553,15,232,15,1553,30,1538,0,0,65,4.15,1396,89.03,32,02.04,45,2.87
Балашихинская городская,УИК №33,1518,1300,0,874,138,288,138,874,20,992,0,0,73,7.21,844,83.4,28,2.77,47,4.64
Балашихинская городская,УИК №34,1315,1200,0,785,136,279,136,785,24,897,0,0,41,4.45,804,87.3,16,1.74,36,3.91
Балашихинская городская,УИК №35,1914,1700,0,1231,87,382,87,1231,20,1298,0,0,87,6.6,962,72.99,100,7.59,149,11.31
Балашихинская городская,УИК №36,1750,1500,0,1177,74,249,74,1177,33,1218,0,0,50,3.99,1097,87.69,27,2.16,44,3.52
Балашихинская городская,УИК №37,1104,1000,0,990,10,0,10,990,14,986,0,0,13,1.3,891,89.1,12,1.2,70,7
Балашихинская городская,УИК №38,1535,1300,0,1073,10,217,10,1073,22,1061,0,0,51,4.71,929,85.78,24,2.22,57,5.26
Балашихинская городская,УИК №39,1787,1500,0,1044,195,261,195,1044,33,1206,0,0,90,7.26,1016,82,31,2.5,69,5.57
Балашихинская городская,УИК №40,2246,1800,0,1403,92,305,92,1402,28,1466,0,0,95,6.36,1270,85.01,36,2.41,65,4.35
Балашихинская городская,УИК №41,1466,1200,0,930,122,148,122,930,16,1036,0,0,48,4.56,931,88.5,18,1.71,39,3.71
Балашихинская городская,УИК №42,1730,1500,0,1042,139,319,139,1042,22,1159,0,0,70,5.93,1042,88.23,18,1.52,29,2.46
Балашихинская городская,УИК №43,2106,1800,0,1685,4,111,4,1685,13,1676,0,0,15,0.89,1520,89.99,23,1.36,118,6.99
Балашихинская городская,УИК №44,1783,1500,0,1281,22,197,22,1281,25,1278,0,0,59,4.53,1162,89.18,18,1.38,39,2.99
Балашихинская городская,УИК №45,1366,1200,0,997,3,200,3,997,33,967,0,0,101,10.1,798,79.8,31,3.1,37,3.7
Балашихинская городская,УИК №46,2030,1700,0,1417,64,219,64,1416,26,1454,0,0,77,5.2,1299,87.77,37,2.5,41,2.77
Балашихинская городская,УИК №47,2249,2000,0,1647,122,231,122,1646,35,1733,0,0,79,4.47,1574,89.03,32,1.81,48,2.71
Балашихинская городская,УИК №48,1665,1300,0,1165,26,109,26,1165,30,1161,0,0,81,6.8,1006,84.47,28,2.35,46,3.86
Балашихинская городская,УИК №49,1570,1500,0,1397,12,91,12,1397,25,1384,0,0,14,0.99,1259,89.35,13,0.92,98,6.96
Балашихинская городская,УИК №50,2216,2200,0,1638,47,515,47,1638,24,1661,0,0,25,1.48,1496,88.78,24,1.42,116,6.88
Балашихинская городская,УИК №51,2110,2100,0,1520,28,552,28,1520,46,1502,0,0,21,1.36,1352,87.34,20,1.29,109,07.04
